職缺,公司,薪資,經歷年資,工作內容,條件要求,工具要求,產業別,經歷年資2
資料分析/AI專案系統測試工程師,聯發科技股份有限公司,40000.0,4年以上,"1. Data Analytics 
2. AI相關專案系統測試工程師與開發團隊在敏捷開發框架下進行系統測試","1. 資訊/電子相關系所大學畢業2. 對於Web開發技術熟識, 如 JavaScript, react, SQL以及相關專案開發/測試經驗3. 對於雲端技術熟悉如AWS並有相關專案經驗4. 熟悉測試工具如Jmeter, Selenium, Chrome developer tools 5. 對於軟工流程以及相關測試規劃及執行熟悉6. 對於敏捷開發有相關經驗, 有專案管理經驗者佳7. 四年以上工作經驗8. 有高度責任感,溝通能力強,注重團隊合作", JavaScript PL/SQL,半導體製造業,4.0
【資安所】AI資料分析工程師,資策會_財團法人資訊工業策進會,40000.0,1年以上,"從事前瞻資安研究技術研發，工作內容為：
1..協助機器學習模型訓練
2.IoT射頻訊號資安應用研究
3.協助技術雛形驗測
4.協助資安應用產品維護",1.熟悉機器學習工具使用經驗佳2.熟悉SDR工具使用經驗，如GNU Radio、LabView3.具C、Java、Python程式開發經驗佳4.具備類比訊號分析經驗佳, C Java Python LabVIEW,電腦軟體服務業,1.0
B-商業智能部-資料分析應用人員-銀行,永豐金融控股股份有限公司 (永豐銀行/永豐金證券/永豐客服科技/永豐金租賃),40000.0,經歷不拘,"1.全行資料庫行銷分析，包含各產品業務分析及客群分析
2.建置統計或machine learning模型並導入應用
3.針對主題進行資料分析並撰寫分析報告",1.統計、資工碩士畢2.成績優異者佳(工作經歷不滿三年應徵請附大學、研究所成績單)3.擅長R或Python程式撰寫,,銀行業,0.0
【資安所】智慧雲端平台中心-人工智慧資料分析師,資策會_財團法人資訊工業策進會,40000.0,1年以上,"1.	資料工程（如：資料介接、爬蟲等）
2.	分析演算法設計
3.	分析演算法實作
4.	分析模組設計
5.	分析模組實作","1.具機器學習、資料探勘、深度學習、回歸分析之專業能力2.必備：Python, R, Linux能力；以下為加分項技術：Scala, Spark, Windows Event, Powershell、Docker, Hadoop, ELK", Linux Python,電腦軟體服務業,1.0
深度(機器)學習資料科學家,慧穩科技股份有限公司,40000.0,2年以上,"1. 深度學習資料分析運用於機器視覺
2. 深度學習演算法研究
3. 資料前處理：確認客戶需求及資料來源彙整、依據資料分析需求，進行資料清理、邏輯運算與彙總 
4. 資料轉檔與分析: 資料轉檔、篩選、比對、彙總、分析相關作業數據 
5. 預測分析: 深度學習演算法, 建置模組, 優化模組
6. 資料呈現：依據專案需求特性，提供對應之資料呈現模式，資料邏輯調整與維護 
7. 建構資料與即時運算系統整合服務 
8. 參與產品需求收集與測試","1.熱愛學習新技術智識。 2.熟悉統計、數值分析、機器學習、深度學習之概念。 3.對 CNN、RNN、GAN 等 Model 實作練習超過6個月以上。4.對市面上的深度學習平台(Tensorflow, MXNet or Caffe)熟悉", Linux C C# C++ Python,電腦軟體服務業,2.0
人工智慧 / 深度學習 / 資料科學工程師 (自然語言處理),研鼎智能股份有限公司,40000.0,2年以上,"1. 深度學習模型建構
2. 研發基於深度學習之自然語言處理技術 (需 study paper 並實作)
3. 開發自然語言處理子系統引擎，介接入完整應用系統內

關鍵字 / keywords : 機器學習、深度學習、TensorFlow、Keras、Gensim、自然語言處理

",1. 團隊合作、熱誠、積極、主動2. 瞭解機器學習、深度學習原理與相關實做經驗3. 熟悉 TensorFlow、Keras4. 應徵請提供成績單與作品集, C C++ Python 軟體工程系統開發 軟體程式設計,電腦軟體服務業,2.0
人工智慧 / 深度學習 / 資料科學工程師 (影像辨識),研鼎智能股份有限公司,40000.0,2年以上,"1. 深度學習模型建構
2. 研發基於深度學習之影像辨識技術 (需 study paper 並實作)
3. 開發影像辨識子系統，介接入完整應用系統內

關鍵字 / keywords : 機器學習、深度學習、TensorFlow、Keras、影像辨識
",1. 團隊合作、熱誠、積極、主動2. 瞭解機器學習、深度學習原理與相關實做經驗3. 熟悉 TensorFlow、Keras、Chainer4. 應徵請提供成績單與作品集, C C++ Python 軟體工程系統開發 軟體程式設計,電腦軟體服務業,2.0
[AICoE] AI Data Scientist 人工智慧資料科學家_台達研究院(台北),台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,40000.0,經歷不拘,"大數據分析已成為企業競爭力的重要關鍵之一，其中人工智慧 (Artificial Intelligence)被視為是翻轉產業的革命型技術。台達電子為了加速產業界導入AI應用，創造智慧化的加值服務，整合AI相關技術與培訓資源，因而成立AI創新中心(AI Center of Excellence)。

因應瞬息萬變的商業環境，共享與協作才能快速創新，這是AI創新中心在資源及服務上的定位，台達將透過此中心的資源來培訓人才並與台達內部各單位合作，落實AI技術於各式服務。

加入本中心, 你/妳將會有機會參與以下題目的數據分析工作:
1.	Video & Image Processing: 缺陷偵測、物件偵測
2.	Bio-image Analytics, Bio-fluorescence Image: 生醫影像分析、生醫文字探勘
3.	Operations Research: 生產排程最佳化、運輸派送最佳化、產能最佳化
4.	Natural Language Processing:	 工業領域斷詞、詞性標注、命名實體識別; 工業領域知識圖譜建構; 閱讀理解為基礎的問答系統建構
5.	Time Series Analysis:	產品品質診斷、機台預測維護(predictive maintenance)

主要工作內容：
1.	以統計、機器學習與深度學習分析內外部客戶資料，提供合適的解決方案
2.	研究與開發數據分析及最佳化技術之演算法及應用
3.	設計、協助及管理數據分析服務及人工智慧專案等業務之推動
4.	參與智慧製造、智慧生活、智慧醫療、智慧企業等產業轉型專案，並協助設計相關流程

","1.	電機/資工/資管/機械/數學/統計/工工，具機器學習、深度學習或最佳化技術背景等相關系所2.	熟悉以下至少一種數據分析語言：Python, R, Matlab, Java, Scala, C/C++3.	熟悉至少一種機器學習或數據分析工具或套件：Scikit-learn, PyTorch, Tensorflow, Keras, OpenCV, NLTK, Stanford-coreNLP等4.	具備程式開發熱忱與積極性，善於溝通協調與團隊合作精神並能獨立解決問題5.	投遞履歷須檢附大學及研究所成績單",,其他電子零組件相關業,0.0
RD20281 巨量資料及機器學習研發工程師,華碩電腦股份有限公司,30000.0,1年以上,"1. 巨量資料之數據梳理 
2. 用戶行為數據分析與business intelligent 分析 
3. 透過machine learning技術將用戶行為建立預測模型",1.至少具備一項以下專業知識：• 資料探勘(Data mining)• 機器學習(Machine learning)• 分散式運算技術(distributed computing)2.至少具備Python、R或任一統計分析程式開發經驗持有經濟部能力鑑定(iPAS)證書者尤佳! BDA3. 實際薪資會依學經歷背景及相關工作經驗核薪,,電腦及其週邊設備製造業,1.0
1JZ0-人工智慧醫學影像診斷中心 巨量資料工程師,中國醫藥大學附設醫院,40000.0,經歷不拘,"資訊類：
1.熟悉Python, R, C++等開發程式語言技術。
2.熟悉CUDA, Tensorflow, Pytorch, Caffe, Keras等框架經驗尤佳。
3.熟悉電腦視覺技術原理與開發。
4.生物醫學訊號處理之演算法開發及驗證 。
5.具工作熱忱且喜歡挑戰新技術。","1.科系:生物醫學、資訊工程、生醫工程相關科系。2.工作待遇:起聘月薪59,534以上，年薪14.5個月計，每三個月彈性績效獎金最高90,000，以及醫院員工福利。",,醫院,0.0
工研院巨資中心_人工智慧與巨量資料平台技術工程師(W2),工研院 _財團法人工業技術研究院,40000.0,經歷不拘,"1. 從事人工智慧與巨量資料平台系統技術研發與維運管理；
2. 人工智慧應用協作機制與系統研發，包含資料清理、去識別化、資料標註、特徵生成、分析成效驗證等；
3. ​​支援人工智慧應用技術產品化歷程發展，包含人工智慧運算平台模組架構、框架規範、資料介面、部署設計等執行協助。","1.碩士(含)以上，資工/資科/資管相關系所畢業，具團隊合作精神2.具以下專業知識(一項或多項)：開放源碼平台(Hadoop/Spark, Kubernetes, Swarm, Mesos, Cloud foundry等)、NoSQL資料庫(Hbase, Cassandra, MongoDB, Redis等)、支援模組(Oozie, Pig, Hive, Sqoop, MLlib,等)、雲端環境(GCP, AWS, Azure等)部署等人工智慧與巨量資料運算平台系統建構與管理維護3.熟悉以下語言(一項或多項)：C， C++，C#，Java，Python等程式開發，具機器學習或資料探勘、雲端架構或平行運算實務經驗尤佳*請檢附相當於TOEIC 650分之英語測驗成績證明(具英語系國家學歷或國外正式工作經歷者可免)，如無法提供，將安排參加本院英文檢測。", C C# C++ Java Python,其他專業／科學及技術業,0.0
機器學習工程師,英商奧雅納工程顧問有限公司台北分公司,40000.0,3年以上,"根據需求、獨立分析及完成機器學習算法的設計和開發等工作；對現有算法或模型提出相應優化方案。
問題均來自實際的工程和設計項目，項目規模大小不一，涉及行業內多專業、多學科的相關算法開發，包括智能設計、智慧建築、節能控制、人流車流監控、大數據分析等等。涉及的技術內容包括但不限於NLP、圖像識別、預測分析等。",職位要求：1. 碩士或以上學歷、數學、理工科、計算機等相關專業；有相關學術背景或工作經驗者優先2. 具備扎實的數學和算法基礎，能獨立分析完成數學建模及算法設計3. 精通TensorFlow、Caffe、Torch、CNTK等任一種深度學習開源架構，了解常用的開元資源4. 熟悉常用的機器學習算法和框架，理解其原理、優劣以及使用技巧5. 熟悉LINUX系統，熟練C/C++/Java/Python語言中的任意一種6. 有良好的英語閱讀、書寫能力7. 工作認真、易於相處、樂於維護一個愉快的、充滿正能量的工作環境,,建築及工程技術服務業,3.0
機器學習研發工程師,晉弘科技股份有限公司,40000.0,3年以上,開發醫療影像輔助診斷系統,•	希望藉由醫療產品的研發，幫助人類健康•	熟悉 Python•	熟悉 TensorFlow•	熟悉 C/C++ (optional)•	熟悉影像處理、統計、數值分析、機器學習、深度學習之概念•	具備 CNN 實作經驗一年以上，或是有 deep learning、machine learning 專案經驗,,醫療器材製造業,3.0
機器學習研發主管,晉弘科技股份有限公司,40000.0,5年以上,"1.開發醫療影像輔助診斷系統
2.規劃及開發人工智慧新產品",•	希望藉由醫療產品的研發，幫助人類健康•	熟悉 Python•	熟悉 TensorFlow•	熟悉 C/C++ (optional)•	熟悉影像處理、統計、數值分析、機器學習、深度學習之概念•	具備 CNN 實作經驗，並且有deep learning、machine learning 專案經驗,,醫療器材製造業,5.0
機器學習研發工程師,立普思股份有限公司,40000.0,經歷不拘,"1. Familiar with data structures and algorithms
2. A formal characterization of probability
3. Data Modeling and Evaluation
4. Applying Machine Learning Algorithms and Libraries
5. Software Engineering and System Design
6. Familiar with parallel computing like CUDA and OpenCL is a plus",未填寫,,電腦軟體服務業,0.0
機器學習研發工程師,橋智自動化股份有限公司,40000.0,經歷不拘,"工作內容：
1. 將深度學習應用於影像辨識
2. 表面瑕疵檢測系統開發
",其他條件：1. 熟悉機器學習與深度學習2. 熟悉影像處理3. 熟悉資料分析, Java Python R,自動控制相關業,0.0
機器學習及影像工程師,光禾國際有限公司,40000.0,經歷不拘,"我們主要研究 AI, DL, Computer Vision, Pattern Recognition, Image Processing, Signal Processing 等等
主要是將各個領域的技術應用在現有產業上幫現有產業加值
目前最著名案例為 
泰國 BTS 鐵路系統內的數位廣告平台搭建及站內 AR 導航互動
醫療產業內的腔內 3D 重建
建築業內的 BIM (Building Information Model) AR，亦即將虛擬模型貼合至現實場域
詳細可參考公司官網 www.osensetech.com
大致上來說我們都在做當前較為稀有的前端技術，所以正積極尋找有研發能力及熱忱的人
","擅長語言: C/ C++/ Python作業系統: iOS, Android, Linux擅長套件: OpenCV, Tensorflow, Caffe 等面試須知：提供代表作品相關資料以及程式碼相關片段「老闆特別叮嚀我們正在做的事情是一件很有前瞻，很酷，也沒有人做過的事情。我們很期待找到一個對AI與CV是充滿熱情的夥伴！」", 軟體工程系統開發 軟體程式設計,其它軟體及網路相關業,0.0
遊戲機器學習工程師,樂多數位股份有限公司,40000.0,經歷不拘,"1. 協助建立遊戲分析/調整方法論
2. 協助整合機器學習與遊戲開發方法論
3. 使用Google BigQuery, DataLab, Tensorflow ",熟機器學習 / 深度學習 / 人工智慧 領域者佳,,數位內容產業,0.0
機器學習專家 (Machine Learning),竹間智能科技有限公司,40000.0,經歷不拘,"1. 碩士及以上
2. 有豐富Java/Python開發經驗;
3. 熟悉常用機器學習算法;
4. 對深度學習基本原理有扎實理解;
5. 熟悉Linux開發環境，熟悉開源工具，有相關領域經驗者優先。",未填寫,,電腦系統整合服務業,0.0
機器學習工程師 Machine Learning Engineer,格明數位媒體有限公司,35000.0,1年以上,"我們需要對AI x大數據有熱情和想法的好手，一同加入數據科學團隊，打造數據驅動的生態圈，並透過對用戶行為不同維度的分析與預測，提供智能化的商務決策解決方案。

1. 數據分析、挖掘、建模與相關的技術開發。 
2. 開發及佈署機器學習、深度學習預測模型。
3. 實作人工智慧演算法，並能評估可能的應用範圍。 
4. 建置精準推薦與行銷、會員分群、風控預測模型等，提升業績成效。  ",[+加分條件 ]+熟悉Python，Git Workflow、Docker經驗。 +AI或深度學習開發相關經驗，如TensorFlow、Keras、GPU...運算環境建立。 +Hadoop、Spark等相關實作經驗 +具大數據資料結構，data mining實務經驗者佳。 +對AI與其新技術有高度興趣。, Python,電腦軟體服務業,1.0
機器學習(深度學習)工程師,慧穩科技股份有限公司,25000.0,經歷不拘,"工作內容:
1.負責軟體之分析、設計以及程式撰寫。
2.規劃執行軟體架構及模組之設計，並控管軟體設計進度。
3.進行軟體之測試與修改。
4.協助研發軟體新技術與新工具。
","工作能力:1. 學碩士以上學歷(碩士尤佳) 2. 具Java, Python, C/C++ 或C#開發經驗 3. 曾學習過機器學習相關課程 4. 對類神經網路有相當的觀念與實作 5. 熟悉Linux開發環境與相關Deep Learning Open Source Tools(Caffe, Digits, MXNet, Tensorflow等等...)6.工作地點:台中7.以上不足者，只要肯學且電機電子理工背景亦可！",,電腦軟體服務業,0.0
【AI】機器學習工程師(深圳),鴻海精密工業股份有限公司,40000.0,2年以上,"1.自動化控制系統設計開發
2.類神經網路系統架構設計
3.系統整合設計與驗證",未填寫,,消費性電子產品製造業,2.0
產品研發工程師/機器學習工程師,宇康生科股份有限公司,40000.0,1年以上,"1. 市場趨勢分析與調查 
2. 產品規格定義與驗證
3. 文獻蒐集與研究
4. 產品開發",1.熟悉C/C++/Python/Matlab programming 尤佳2.APP系統開發經驗3.有Machine learning相關經驗4.有TensorFlow/Caffe相關經驗 尤佳5.具生技醫材產業技術背景與設計經驗者佳,,生化科技研發業,1.0
機器學習演算法工程師(AI),聯發科技股份有限公司,40000.0,經歷不拘,"1.開發機器學習框架網絡模型量化技術。
2.探索下一代智能手機，監控，智能家居和自動駕駛汽車的新應用",1.熟悉深度神經網絡(例如CNN，RNN，BNN，TWN)2.深度學習方法的經驗（無監督學習，強化學習，網絡壓縮及簡化，GAN）3. C / C ++ / Python編程經驗4.熟悉機器學習/計算機視覺5.熟悉Caffe / TensorFlow,,半導體製造業,0.0
機器學習工程師 (Machine Learning Engineer),愛卡拉互動媒體股份有限公司,40000.0,2年以上,"iKala is an AI-driven marketing technology company. Headquartered in Taiwan and operating in Singapore, Taiwan, Japan, Thailand and Vietnam, iKala dedicates to developing marketing products that help advertisers and marketers do better jobs. 

We are looking for machine learning engineers to join our team. The ideal candidates will have production experience working on a range of different machine learning disciplines. This position will be involved in developing machine learning applications for Ad-tech industry.

【Responsibilities】
- Apply machine learning to a variety of modeling and relevance problems at enterprise level.
- Participate in the engineering life-cycle, including writing production code, conducting code reviews and deploy machine learning solutions into production.

【Requirements】
- Strong programming skills in Python or similar language.
- Familiar with machine learning frameworks/libraries.
- Familiar with machine learning algorithms. Strong knowledge in machine learning technologies related to image processing is a plus.
- Experience in data modeling and evaluation.

【Plus】
- Familiar with frameworks such as Tensorflow/Keras/Pytorch/Caffe.",未填寫,,電腦軟體服務業,2.0
機器學習工程師(電腦視覺),晶睿通訊股份有限公司,40000.0,2年以上,"1. Computer vision algorithm development.
2. Neural Network architecture design and optimization

歡迎對deep machine learning 有熱誠的研發人才加入~ 
https://www.bnext.com.tw/article/49432/ipcamera-vivotek-deeplearning-gdpr-trend-micro","Basic Requirement:1. Familiar with Python, CNN and machine learning.2. Experience in deep learning framework (Caffe, Caffe2, TensorFlow , PyTorch, Keras, CNTK, MXNet, Theano, Torch,...).3. Knowledge in digital image processing and computer visionPreferred Requirements:1. Familiar with C/C++ is a plus.2. Familiar with OpenCV is a plus.3. Familiar with linear algebra is a plus.人格特質:樂觀、合群、勇於接受挑戰。工作地點: 新北市中和區或台南永康區皆可。", C C++ Python,多媒體相關業,2.0
機器學習工程師 ( Machine Learning Engineer ),賽微科技股份有限公司,40000.0,經歷不拘,"1. Linux / Bash 編程。
2. 針對現有模型或系統提出相對優化的方法。
3. 應用機器學習演算法於語音訊號/自然語言的分析。
4. 開發神經網路的預測模型。
5. 機器學習演算法的IC Porting。","Nice to have:1. Familiar with speech signal processing, speech recognition.2. Familiar with probabilistic graphical models.3. Familiar with CNN, LSTM, Attention.", C C++ Python,其它軟體及網路相關業,0.0
機器學習演算法開發工程師,富比庫股份有限公司,28000.0,經歷不拘,"1. 演算法相關技術應用
2. 電腦輔助軟體操作 
3. 以機器學習方法進行數據分析 
4. 進行演算法性能測試及修改",1.     無經驗可 2.     有溝通能力、能解決問題、有團隊合作精神、能配合計畫時程 3.     個性主動積極、溝通協調能力佳 4.     熟悉機器學習(Machine Learning) 、最佳化(Optimization)，具備深度學習(Deep Learning)實務經驗者尤佳5.     意者請先投遞履歷(含自傳與照片)，本公司將另行安排面試。, C# Matlab Python Visual Studio MySQL 軟體程式設計,電腦軟體服務業,0.0
Machine Learning Engineer / 機器學習科工程師,瑞嘉軟體科技股份有限公司,40000.0,3年以上,"• Perform feature engineering, building and optimizing classifiers using machine learning techniques.
• Data mining using state-of-the-art methods.
• Design and implement software systems and tools for internal process automation based on data mining and machine learning techniques.
• Design, implement, and operate data analytics platforms for business intelligence analysis.
• Provide data insights and develop data intelligence solutions/reports for business decisions.
• Work with other teams to assist with data-related technical issues and support their data infrastructure needs.
• Evaluate and identify the use of new or existing software products and technologies.
• Perform other duties as necessary.",NA,,電腦軟體服務業,3.0
機器學習工程師 / Machine Learning Engineer,凡谷興業有限公司,40000.0,2年以上,"1. 根據需求、獨立分析，利用機器學習設計合適模型
2. 將模型套用至現有通訊產品
3. 機器學習、深度學習訓練資料結果的分析與建議
4. 建置大數據資料庫
","1. 熟C, C++, Python, Tensorflow, Keras2. 具備實作、設計、分析演算法能力(如：CNN, RNN)3. 具AI開發經驗、自然語言、機器學習、深度學習、研究背景者佳4. 熟悉機器學習或人工智慧相關技術與framework5. 對人工智慧與機器學習研究具有熱忱者6. 具備獨立工作、研究與開發熱忱及團隊合作之精神", C C++ Python,其它軟體及網路相關業,2.0
【教研所】Python機器學習/深度學習講師,資策會_財團法人資訊工業策進會,40000.0,1年以上,"1. AI相關課程規劃
2. 了解AI技術的發展，隨時改善與創新相關課程
3. 養成班AI相關課程教授
4. 在職訓練、企業包班AI相關課程教授
5. 學員服務、專題製作指導",1. 熟悉相關AI理論及技術2. 了解機器學習及深度學習演算法3. 具備資料分析、電腦視覺、影像或聲音辨識相關應用的經驗4. 熟悉Python語言，TesorFlow、Keras等框架, Python 軟體程式設計 規劃與執行教學活動 擬訂教學計畫,電腦軟體服務業,1.0
