職缺,公司,薪資,經歷年資,工作內容,條件要求,工具要求,產業別,經歷年資2
F-資料分析師,中國人壽保險股份有限公司(總公司),40000.0,5年以上,"1. 資料探勘、資料萃取分析、機器學習。 
2. 金融科技相關計畫。",1. 具備資料探勘、機器學習等數據分析專業知識 2. 熟悉統計分析軟體或程式開發語言如R、SAS、Python等(一項或多項) 3. 具備資料探勘、機器學習或人工智慧相關應用經驗者尤佳 4. 具有良好溝通協調能力 5. 有保險資料探勘、數據分析經驗為佳,,人身保險業,5
資料分析工程師,精品科技股份有限公司,40000.0,經歷不拘,大資料處理及分析,1.具備軟體專案開發經驗。2.具備團隊開發軟體的經驗尤佳。  ＊面試時將進行性向測驗及筆試, C# Java Python MS SQL 系統架構規劃 軟體工程系統開發 軟體品質與保證 網路資料傳輸 資料通訊與網路應用 問題追蹤處理(Bug tracking) 軟體整合測試 軟體程式設計 結構化程式設計 網路程式設計 模組化系統設計 資料庫程式設計 資料庫軟體應用 網路安全架構分析與設計,電腦軟體服務業,0
Data Analyst 資料分析師,日新軟體股份有限公司,40000.0,3年以上,"Job Description:
We are looking for an experienced Data Analyst to monitor online user behaviors and control the risk from malicious activities by applying mathematics and data analytics.

Job Responsibilities:
1. Refine and design data management processes from different sources
2. Interpret data, analyze results and deliver reports
3. Build auto-monitoring tools of abnormal customer behavior
4. Conduct data analytics to investigate risk associated issues","Requirements:1. Excellent statistical, machine learning and mathematical knowledge2. Great analytical skills, problem-solving and critical thinking3. Good at programming in R. (Python is a plus)4. Familiar with using SQL databases5. Great communication and teamwork skills", R,電腦軟體服務業,3
數據資料分析師,飛騰資訊科技有限公司,60000.0,3年以上,"1. 採用不同的資料分析技術，建置預測模型 
2. 需要與其他同仁時常溝通，全盤了解產業規則及運作，並開發出符合需求的產品
3. 負責維護公司所有產品所產出之相關 資料
4. 針對各種狀況使用不同的演算法來取得成果
5. 如負責之產品成功推出，將可領取開發獎金
6. 初期需經過半年之訓練期
7. 須配合輪班",1. 3年以上之經驗2. 有在金融或風控相關產業建立運算模型之經驗3. 熟悉Python 或是 R 程式語言4. 有機器學習相關經驗或是建立過預測模型並通過實測者5. 對職業運動(NBA、MLB、Football 等)有興趣且持續關注,,電腦軟體服務業,3
資料分析工程師,佳邦科技股份有限公司,40000.0,經歷不拘,"1.集團各(關企)BI、BO程式開發、Dashboard日常維護 
2.使用者需求訪談及系統分析,建置雲端大數據資料分析平台
3.數據預處理、數據特性統計分析、視覺化軟體程式及報表開發 
4.集團大數據分析、模型建立、專案執行與管理
5.具ERP、商業流程及資料倉儲觀念者佳
6.熟悉企業流程","1.資訊/統計/應用數學相關科系畢，2.具數據分析程式開發經驗 (Hadoop, Spark, Mahout, Storm, Pig, Hive…) 3.具Big Data Analyst／Data Mining／Machine Learning經驗者 4. C、C#、Java、NoSQL、MySQL …。",,消費性電子產品製造業,0
Data Analyst ( 資料分析師）,美商勞倫斯科技股份有限公司台灣分公司,40000.0,3年以上,"We are looking for a software engineer who is passionate about solving near-unsolvable problems. If you are a brilliant “bleeding edge” innovator trapped in a traditional Software Engineering job building boring business systems. This is your dream job.
The Lead Design Innovator will lead our newly formed Taiwan Innovation Lab, part of the US company's international team of Dreamers.  He will play several leadership roles which include Technical Mentoring, while also personally be responsible to design Big Data Analytics, Machine Learning, or Language Recognition components of our product.
The ideal candidate for this position is someone who thinks outside-of-the-box .  Creativity, ingenuity, and technical passionate are critical success factors.   It is a given that such talent would already be seasoned and expert in many programming languages and environment.

Responsibilities :
	Work on Natural Language (NLP) component for analytics application to allow interpretation of free form statements
	Develop Machine Learning processes and algorithms to improve accuracy of NLP component
	Be involved in various phases of software development including requirements analysis, application design, and development and testing
	Demonstrate knowledge and experience in Data development
	Support Implementation and show great leadership on development of software of AI / ML","It would be great if you...1.	Bachelor’s Degree in Computer Science,Mathematics, Physics, Engineering or equivalent2.	Minimum 3 years in a software engineering profession3.	Minimum 3 years’ experience developing with .NET, C#, Java, and Python4.	Minimum 1 years’ experience with NLP, Machine Learning and AI5.	Minimum  years hands on experience in Big Data technologies such as Hadoop/HBase, ElasticSearch, Storm and Spark 6.	Experience with Data and Statistical Analysis and Algorithm Development7.	Relational Database (SQL Server, Oracle, and MySQL) and NoSQL Database (Mongo, Cassandra) experience8.	Familiarity with Natural Language Interfaces9.	Experience working within Windows and Linux Environments10.	Familiarity working with cloud technologies such as AWS11.	Experience designing and developing large scale systems and applications12.	Strong Mathematical Skills13.	Good Communication Skills14.	Agile Development Methodology Experience",,電腦軟體服務業,3
信用卡資料分析人員,第一銀行_第一商業銀行股份有限公司,40000.0,1年以上,"SAS統計軟體數據統計分析及建模。

1.國內、外大學(含) 以上資訊相關科系畢業。
2.須具備銀行客群分析一年以上經驗者。
3.熟悉客群分析、資料庫維護、名單篩選、模組建立等流程。
4.熟悉SAS 系統，具開發經驗。",1.具專案管理與溝通協調能力且能獨立作業。2.具英語能力檢定證明者尤佳。3.具服務熱忱、主動積極、表達能力佳、抗壓性高、具有強烈學習進取精神。4.經錄取後，如有下列情形之一經查證屬實者，將不予分發進用或予以解僱：　(1)曾經第一銀行免職、解僱、資遣者。　(2)曾服公職有貪污行為經判決確定或通緝有案尚未結案者。　(3)犯侵佔、背信、詐欺罪經判決確定或通緝有案尚未結案者。　(4)犯前二款以外之罪，經受有期徒刑以上刑之宣告者，或經通緝在案尚未結案者。　(5)受監護或輔助之宣告，尚未撤銷者。　(6)有重大喪失債信情事尚未了結者。　(7)主管機關或其他有關機關頒布法令限制僱用者。　(8)報考資格不實或涉及不誠信或法令規定不當之行為者。5.詳細招募訊息，請詳閱本行招募簡章：https://www.firstbank.com.tw/servlet/Satellite?blobcol=urldata&blobheadername1=Content-Disposition&blobheadername2=MDT-Type&blobheadervalue1=inline%3B+filename%3DDownloadfile.pdf&blobheadervalue2=abinary%3B+charset%3DUTF-8&blobkey=id&blobnocache=true&blobtable=MungoBlobs&blobwhere=1473821954207&ssbinary=true,,銀行業,1
數據/資料分析工程師,日威科技股份有限公司,40000.0,經歷不拘,"透過對生產製造流程的了解，結合數字化應用以提供使用者更精確的資訊與改善方法
工作內容包括
1. 對生產瓶頸有關的問題進行調查
2. 數字化生產設備性能
3. 數據分析
4. 產品功能設計",未填寫, Python R SPSS 6 Sigma SPC JavaScript 專案規劃執行╱範圍管理 整理分析生產紀錄報告 資料庫軟體應用 資料庫程式設計,電腦系統整合服務業,0
資料分析師 (Data Analyst),智域國際股份有限公司,35000.0,2年以上,"-	與客戶溝通訪談確認分析需求以建立分析議題。
1. 根據不同議題、資料來源，設計資料模型，並以視覺化報表的形式呈現分析結果。
2. 與工程師合作架構資料倉儲系統並規畫整合數個倉儲系統為資料平台。
3. 建立Machine Learning預測模型，並做相關預測分析。
",1. 抗壓力強，可獨立作業，自我學習意願強2. 熱愛資料分析、擅長統計或數值分析。 善用以下工具者佳：-	Excel、Word、PowerPoint。-	Python/R使用經驗、有SQL使用經驗者為佳。-	具Data Modeling相關知識。具MS Power BI經驗者優先考量。-	有SSIS、SSAS、SSRS經驗者優先考量。-	具ML模型開發經驗者為佳。, Excel PowerPoint Word 資料備份與復原 資料庫系統管理維護 資料庫軟體應用 系統架構規劃與維護 專案管理軟體操作 簡報軟體操作,電腦系統整合服務業,2
業務資料分析人員,中國信託綜合證券股份有限公司,30000.0,經歷不拘,"1.負責經紀業務單位業務報表設計及產出
2.負責協助督導主管推動業務專案及成效分析
",未填寫, 證券商業務員 證券商高級業務員,證券及期貨業,0
B業務資料分析人員,中國人壽保險股份有限公司(總公司),30000.0,經歷不拘,"1.業務員通路人事資料庫整合與規劃
2.業務員銷售行為數據分析，提供業務員管理與主管經營決策參考
3.資料視覺化專案規劃與執行",1.熟悉Excel函數、SQL或Access資料庫運用者佳2.具備金融保險業資料分析經驗者尤佳3.具團隊合作精神及溝通協調能力,,人身保險業,0
商業資料分析師 Business Data Analyst,阿福股份有限公司,50000.0,1年以上,"1. Discover/Extract insights which could potentially help grow business intelligence from user data using mathematical/statistical methods.
2. Design and propose experiments to explore new data which is able to answer key questions from stackholders.
3. Create best-practice reports based on data mining, analysis, and visualization.
4. Working with product manager to interpret data, analyze results, identify trends, and form business strategies.","1. BS or MS in related areas (Computer Science, Information Engineering, Mathematics, and Statistics) with 1+ year of experience working on business data analysis, predictions, and strategies.2. Self-motivated and enthusiastic in Data Analytics. 3. Solid Python programming skills in terms of data analysis and presentation4. Good communication and presentation skills.5. Understandings and experiences working with one or more machine learning framework, TensorFlow and Caffe would be a plus6. Experience on NoSQL database and BigQuery is a plus", Python 系統整合分析 軟體工程系統開發 網路資料傳輸 信號與系統設計 資料通訊與網路應用 軟體程式設計 網路程式設計,多媒體相關業,1
資料分析/程式設計師,亞洲志遠科技股份有限公司,35000.0,1年以上,"*系統分析
*系統測試
*程式開發
*專案溝通協調",(1)具資料庫開發相關經驗與知識(2)具Web application專案導入經驗(3)具.Net實務開發經驗及知識者佳, ASP.NET C# MS SQL,電腦軟體服務業,1
資料分析工程主管,順立智慧股份有限公司,40000.0,3年以上,"我們是來自網路圈與IC設計公司的新創公司
透過 Ruby on Rails 開發新一代 E-commerce 系統與物聯智慧服務

主要的工作內容為：
1. 管理及規劃工作排程
2. 整合目前的功能及發想新的服務
3. 查詢/統計/分析，所獲取的資料",1. 管理及帶人的經驗2. 熟悉 SQL 語法 3. 具備使用 R / Python 或其他做統計分析的工具的經驗4. 網路爬蟲相關技能4. 視覺化工具使用經驗（如：D3.js）5. 流暢的英文閱讀能力，能閱讀原文文件 ★加分條件：1. 熟悉數據分析或機器學習2. 具備與 Rails 合作或開發經驗3. 具備使用 GA / FB pixel 經驗4. 曾使用過大型 BI 服務（如：Tableau，Power BI，Google Data Studio） ★其他條件：解決問題的能力，會上 Stackoverflow 找尋解答喜歡團隊合作與溝通處事積極正向的個性有網路服務開發經驗,,其它軟體及網路相關業,3
D02-CRM資料分析師,雄獅旅行社股份有限公司,40000.0,2年以上,"1.整合集團各事業群客戶樣貌行為資料，分析與觀測客行為與偏好。
2.定期提出集團客戶樣貌分析報告，洞察與預測消費趨勢。
3.依據分析報告規劃與建置統計模型，提出營運單位建議解決方案。
4.依營運單位需求執行客戶分析專案，支援營運單位策略發展。
5.客群經營與精準行銷專案名單產出，協助營運單位進行活動規劃、成效評估及優化。",1.邏輯能力強、觀察力敏銳、主動積極進取2.具備市場調查、數據分析、資料探勘(Data Mining)經驗3.具備關聯式資料庫結構、資料市集之知識概念4.熟悉SQL資料庫語法，並具結構化資料處理能力5.熟悉R語言，並能獨立作業主動發現問題、建置統計模型、實際解決問題之能力6.具備與營運單位主管、資訊開發人員溝通經驗、具耐性與簡報技巧7.有零售通路相關產業CRM統計模型建置實務經驗尤佳,,旅遊服務業,2
資料分析報表工程師,士燿國際股份有限公司,25000.0,3年以上,"1. 負責公司資訊系統。 
2. 協助透過資料蒐集、多維度定義，建立模型。 
3. 萃取資料價值，供營運團隊使用，提供解決方案。 
4. 數據視覺化與分析成果產出。
5. 熟SQL語法。 ",1.個性活潑、樂觀開朗。2.態度積極、勇於挑戰。3.溝通協調、樂於分享。4.當責賦權、團隊協做。 備註：實際薪資依學經歷及能力核定!,,機械器具零售業,3
行銷資料分析專員,保誠人壽保險股份有限公司_總公司,40000.0,2年以上,"1.	因應業務通路及商品行銷需求，製作客戶屬性、購買行為、商品、行銷活動分析及成效追蹤，以作為優化商品行銷、精進客戶管理、行銷活動規劃的參考依據。
2.	完成資料分析後，進行Data Quality Assurance確保資料正確性。協助同事進行行銷規劃，資料彙整等專案或問題進行分析與討論，並與主管討論，提出建議方案。
3.	參與分析及行銷專案的討論及執行，整合跨單位回饋意見，確保專案如期達成目標。
4.	定期製作不同業務通路之分析報表，滿足對客戶/商品之了解或以利行銷優化 ; 包含專案上線前之規劃、上線後之追蹤績效與評估使用。","•	工作經歷： 3年以上資料分析,資料探勘等相關工作經驗，有金融保險業經驗尤佳。•	學歷要求：大學、碩士 ; 科系要求： 資訊管理, 統計, 心理系相關。•	語文條件： 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等•	專業知識與能力: Python, R, SQL，多維度客戶分析，資料庫分析與資料探勘實務運作知識。•	核心能力: 組織能力，邏輯思考，溝通協調，問題分析及解決能力，自我管理與效率。•	熟悉Word, Excel, PowerPoint應用程式；熟悉中英文輸入", Windows 2000 Windows 98 Windows NT Excel PowerPoint Word,人身保險業,2
資深資料分析師 D31,永慶房產集團_永慶房屋仲介股份有限公司,40000.0,5年以上,"永慶房產集團垂直整合三大事業群，歡迎具備邏輯思考、分析判斷及溝通能力優秀人才的加入，我們提供舒適的辦公環境，完整的升遷制度及教育訓練，更有資深同仁經驗分享，帶領新人熟悉工作，讓您可以在最優質完整的環境下全心投入與發展。

【工作內容說明】
1.利用統計分析或資料採礦技術協助公司掌握市場趨勢。
2.協助公司內外部分析資料整合，決策分析系統設計。
3.客戶資料庫整合規劃。
4.透過資料分析協同營運單位作戰。",1.大學以上，統計、數學或資訊相關科系尤佳2.具5年以上資料分析相關經驗，熟SPSS Modeler、R或SQL server Data Mining工具3.具大數據、資料採礦、統計分析能力、研究報告撰寫、決策分析系統設計4.對數字敏銳，具良好邏輯與戰略思維，能結合產業知識分析數據,,不動產經營業,5
SAS 資料分析工程師,圓展科技股份有限公司,40000.0,2年以上,"1. VA報表製作與EG資料整理。
2. 熟悉 SAS Enterprise Guide ETL
3. 熟悉 SAS Viya VisualAnalytics
4. 熟悉SQL語言。
5. 具自我學習意願以良好溝通能力。
6. 跨系統的資料交換與整合。
7. 開發文件製作。

=== 個人特性 ===
1. 具備熱忱
2. 學習能力
3. 溝通能力
4. 能接受挑戰
5. 沒有玻璃心

=== 以下加分項目 ===

1. SAP Basis 能力
2. 了解SAP PP/MM模組
3. SAP Data Model

本工作具挑戰性

本工作與企業運營息息相關、誠信道德為首

本工作能力與目標取向、想當公務員請出門左轉

本工作不需要具備所有特色、一切皆為考量因素

本工作面試時會做性向測驗、以及填寫一份無聊又簡單的試題

有興趣請先來聊聊",1.具SAP系統實務經驗尤佳。2.具熱忱、肯學習以及良好的態度。, SAS SAP,光電產業,2
資料分析師(T53),關貿網路股份有限公司,40000.0,2年以上,"建立分析統計預測模型及演算法
視覺化報表設計",1.具 R/ Python等相關統計程式語言使用經驗2.具(數值統計/分析模擬/ Machine Learning/ 自然語言處理) 相關研究或程式開發經驗3.具大量資料處理與相關資訊系統建置經驗佳4.具Hadoop、 Hive等軟體使用經驗尤佳5.對新技術新事物充滿學習熱情，具團隊合作精神, Python R,電腦系統整合服務業,2
資料分析師(華創),裕隆集團_華創車電技術中心股份有限公司,35000.0,經歷不拘,"1.符合客戶需求之使用者行為分析及數據應用產品開發
2.車輛數據應用分析(例如：時間序列分析、使用行為分析、關聯及因果關係分析..等數據分析項目)
3.數據分析演算法應用，依不同分析項目，評估適合的演算法，完成分析像木或建立預測模型
4.資料分析視覺化圖表呈現",一、工作技能：1.資料分析軟體：R(佳)、python(佳)、Scala、Handoop and Hive、Minitab..2.基本的SQL、NoSQL語法，CSV、JSON格式資料的處理3.Excel、HTML、JS、Hi-Charts應用4.有Linux、網頁前端開發經驗佳二、英文能力：多益450分以上,,汽車及其零件製造業,0
資深資料分析師 H31,永慶房產集團_永慶房屋仲介股份有限公司,40000.0,5年以上,"永慶房產集團垂直整合三大事業群，歡迎具備邏輯思考、分析判斷及溝通能力優秀人才的加入，我們提供舒適的辦公環境，完整的升遷制度及教育訓練，更有資深同仁經驗分享，帶領新人熟悉工作，讓您可以在最優質完整的環境下全心投入與發展。

【工作內容說明】
1.利用統計分析或資料採礦技術協助公司掌握市場趨勢。
2.協助公司內外部分析資料整合，決策分析系統設計。
3.客戶資料庫整合規劃。
4.透過資料分析協同營運單位作戰。",1.大學以上，統計、數學或資訊相關科系尤佳2.具5年以上資料分析相關經驗，熟SPSS Modeler、R或SQL server Data Mining工具3.具大數據、資料採礦、統計分析能力、研究報告撰寫、決策分析系統設計4.對數字敏銳，具良好邏輯與戰略思維，能結合產業知識分析數據,,不動產經營業,5
Data Scientist 資料分析師 / 資料科學家,格明數位媒體有限公司,35000.0,1年以上,"1. 規劃資料萃取、資料清理與理解、資料探勘、模型建置、場景發想與運用 
2. 跨產業分析專案、BI優化專案 
3. 數據分析、挖掘、資料視覺化設計規劃 
4. 將商業問題轉化為可分析的條件以及狀態，熟悉統計和預測方法
5. 針對異常數據提出觀點和監控方法，蒐集外部競爭資訊、歸納、建議
6. 主動提出觀點與提案，提供資料解析以作為決策應用依據
7. 發展推薦演算法、個人化演算法、風控演算法  ","加分條件 : 1.對網路產業有高度興趣，曾有數據挖掘、數位媒體行銷..等相關工作經驗者佳。2.熟悉R、Python、SAS、SQL等工具(一項或多項)。 3.具備資料探勘、機器學習等進階數據分析、預測..等專業知識 4.具備ML、DL、AI..等應用經驗, 有高度興趣和研究意願 5.具良好溝通協調能力、邏輯思考能力佳",,電腦軟體服務業,1
電子商務資料分析師/資料科學家,松果購物股份有限公司,40000.0,經歷不拘,"1. 透過各項分析數據指標，提供跨部門營運上的觀察與建議 
2. 用於精準行銷之使用者分析，如用戶流失預測 、購買行為預測 
3. 用於商品開發與定價策略之商品分析 
4. 改進使用者推薦系統與各項內部系統機制最佳化",NA,,網際網路相關業,0
物聯網資料分析師(上海),鴻海精密工業股份有限公司,40000.0,1年以上,"1. 物聯網關鍵資料採擷和演算法技術研發。
2. 深入理解物聯網業務運作邏輯，利用資料分析手段，發現瓶頸並提出行動建議。
3. 應用先進的統計建模、資料採擷、機器學習等方法建立資料模型以解決物聯網中遇到的實際問題。
4. 優化和完善各行業物聯網需求的資料分析體系，包括報表體系、專題分析體系。",1. 數學及電腦相關專業本科以上學歷。2. 2年以上資料分析經驗，熟悉資料分析的一般流程、常用方法（如分類、聚類、回歸等）和資料項目目實踐經驗。3. 熟悉R、Java、Python一種或多種。4. 有資料庫SQL使用經驗，有Hadoop、Spark技術優先考慮。5. 具有極強資料敏感度和商業洞察力，及良好的問題分析解決能力和溝通能力。,,消費性電子產品製造業,1
物聯網資料分析開發工程師(上海),鴻海精密工業股份有限公司,40000.0,1年以上,"1. 預測模型系統化。
2. 資料統計、分析與預測模型建立。
3. 負責設計和建立基於Storm、Spark、Flink的即時資料處理框架，並開發萬用群組件。",NA,,消費性電子產品製造業,1
L-語言資料分析人員（香港用語）,緯創軟體股份有限公司,40000.0,經歷不拘,"內容：語言資料是自然語言技術的關鍵模組，語言資料分析人員的主要職責包括文本資料和語音資料的分析處理，以及撰寫報告等的文檔工作
需求：
	能熟練操作電腦，熟練使用excel等辦公軟體
	耐心、細緻，工作認真負責，有較好的學習和溝通能力，可在短期內瞭解資料處理操作流程和軟體工具的使用方法
	大學以上學歷，並有較好的英文讀寫能力，有以下專業背景優先：電腦相關專業，中文語言類專業等
地點：臺北 101
性質：長期正職
上班日期：2018 年 7 月
",能熟練操作電腦，熟練使用excel等辦公軟體耐心、細緻，工作認真負責，有較好的學習和溝通能力，可在短期內瞭解資料處理操作流程和軟體工具的使用方法大學以上學歷，並有較好的英文讀寫能力，有以下專業背景優先：電腦相關專業，中文語言類專業等,,電腦軟體服務業,0
資料分析師 (社群資料、人群資料),意藍資訊股份有限公司,32000.0,經歷不拘,"本公司運用語意分析與雲端技術專長，推出全國規模最大的網路社群監測與分析平台《OpView社群口碑資料庫》及《PeopleView人群資料庫》，廣泛地應用在行銷廣告、公關客服、品牌及市場研究上，能夠在數億筆的雲端資料庫內，精確地分析網路上的口碑聲量，以及消費者和市場的樣貌，是數位行銷時代重要的工具，因此本公司招募想積極投身這波浪潮的人才一同加入。

工作內容：
70% 執行客戶的分析報告或提案，分析問題，進而提出策略方向
20% 經營客戶關係，協助解決問題
10% 分析客戶需求，歸納並參與規劃產品，提升服務

本工作無特定學經歷要求，歡迎對下列有經驗或有興趣的同仁加入
1.統計及研究方法論
2.各式分析工具或技術 (例如R, Python, Excel, SQL任一)
3.在企業及商業上的洞見詮釋",1. 具簡報與報告製作能力，能以文書或圖像化表達2. 對資料分析有熱忱、喜歡定義問題並加以解答、喜歡接觸多元產業領域3. 若具以下經驗，歡迎加註於自我推薦信中，並提供相關資料- 行銷、廣告、公關、市場研究、資料分析等相關領域實務經驗- 實際應用統計或分析工具之經驗,,網際網路相關業,0
資料分析師(金融)-B10C,精誠資訊股份有限公司,24000.0,8年以上,"於DWH Data Analysis工作經驗5年以上：
1. 熟悉銀行核心系統(Core Banking)或其它相關業務
2. 具備銀行業DWH資料分析與建立Modeling經驗
3. 具備跨平台資料分析
4. 具Stored Procedure撰寫能力
5. 熟悉ETL工具(如Informatica)",未填寫,,電腦系統整合服務業,8
約聘資料分析師(T45駐點食藥署),關貿網路股份有限公司,33000.0,經歷不拘,"1.負責資料標準化、探勘及分析工作
2.依客戶需求產出資料分析報告
3.其他交辦工作",1.良好之溝通能力、積極有責任感、抗壓性高。2.具備資料探勘相關經驗尤佳，並需提供相關證明文件3.熟悉任一項統計軟體R、Python、SAS、SPSS(擅長R尤佳), R,電腦系統整合服務業,0
L-語言資料分析人員（台灣用語）,緯創軟體股份有限公司,40000.0,經歷不拘,"內容：語言資料是自然語言技術的關鍵模組，語言資料分析人員的主要職責包括文本資料和語音資料的分析處理，以及撰寫報告等的文檔工作
需求：
	能熟練操作電腦，熟練使用excel等辦公軟體
	耐心、細緻，工作認真負責，有較好的學習和溝通能力，可在短期內瞭解資料處理操作流程和軟體工具的使用方法
	大學以上學歷，並有較好的英文讀寫能力，有以下專業背景優先：電腦相關專業，中文語言類專業等
地點：臺北 內湖
上班日期：2018 年 7 月
",未填寫,,電腦軟體服務業,0
製前-工程資料分析人員A172,楠梓電子股份有限公司,23100.0,經歷不拘,"1.客戶資料轉檔
2.客戶藍圖尺寸量測/排版設計
3.客戶設計資料分析
4.提供流程設定相關資料

*公司提供完整教育訓練","1.熟一般PC操作能力。2.邏輯思考/圖形辨識能力強,細心、耐心。",,其他電子零組件相關業,0
資訊人員（資料分析人員）,國票綜合證券股份有限公司,40000.0,3年以上,"1.客戶資料分析
2.客戶行為分析
3.業務分析",1.具資料分析經驗者，有證券或期貨商業務分析經驗者尤佳。2.具備傳統分析背景，熟工具如SPSS或R語言者尤佳。3.樂觀進取、態度積極、能自我學習。, SPSS,證券及期貨業,3
D-網路部-CRM資料分析師,霹靂國際多媒體股份有限公司,40000.0,2年以上,"1. CRM會員分級，數據建立/數據管理/成效追蹤。 
2. CRM行銷分析，提出行銷活動規劃、建議、成效分析與報表製作。 
3. CRM資料分析，客訴案件追蹤、顧客問題分析及提出建議。
4. 其他主管交辦事項。 
",1.具備關聯式資料庫結構、資料市集之知識概念 2.熟悉SQL資料庫語法，並具結構化資料處理能力 3.具備與營運單位主管、資訊開發人員溝通經驗、具耐性與簡報技巧 4.具備市場調查、數據分析、資料探勘(Data Mining)經驗 5. 專案分析，找尋品牌機會點。 6. 數位行銷活動發想。, 顧客關係管理 市場調查資料分析與報告撰寫,廣播電視節目供應業,2
資料分析工程師(彰化廠),SDI_順德工業股份有限公司,40000.0,經歷不拘,"1. 運用機器學習技術、演算法進行分析、規劃與模型建立
2. 分析數據提供公司營運上觀察與建議",未填寫,,半導體製造業,0
資料分析員（底薪30000以上）,世德五金實業社,30000.0,2年以上,"1.公司資料數據的建置、歸納、分析
2.熟悉善於操作excel功能、函式撰寫及分析工具
3.支援客戶相關諮詢回覆
4.支援財務相關資料處理
5.需具有數據分析相關工作經驗、細心",NA,,其他商品批發業,2
資料分析/AI專案系統測試工程師,聯發科技股份有限公司,40000.0,4年以上,"1. Data Analytics 
2. AI相關專案系統測試工程師與開發團隊在敏捷開發框架下進行系統測試","1. 資訊/電子相關系所大學畢業2. 對於Web開發技術熟識, 如 JavaScript, react, SQL以及相關專案開發/測試經驗3. 對於雲端技術熟悉如AWS並有相關專案經驗4. 熟悉測試工具如Jmeter, Selenium, Chrome developer tools 5. 對於軟工流程以及相關測試規劃及執行熟悉6. 對於敏捷開發有相關經驗, 有專案管理經驗者佳7. 四年以上工作經驗8. 有高度責任感,溝通能力強,注重團隊合作", JavaScript PL/SQL,半導體製造業,4
【資安所】AI資料分析工程師,資策會_財團法人資訊工業策進會,40000.0,1年以上,"從事前瞻資安研究技術研發，工作內容為：
1..協助機器學習模型訓練
2.IoT射頻訊號資安應用研究
3.協助技術雛形驗測
4.協助資安應用產品維護",1.熟悉機器學習工具使用經驗佳2.熟悉SDR工具使用經驗，如GNU Radio、LabView3.具C、Java、Python程式開發經驗佳4.具備類比訊號分析經驗佳, C Java Python LabVIEW,電腦軟體服務業,1
B業務資料分析資深人員,中國人壽保險股份有限公司(總公司),40000.0,3年以上,"1.業務員通路人事資料庫整合與規劃
2.業務員銷售行為數據分析，提供業務員管理與主管經營決策參考
3.資料視覺化專案規劃與執行",1.熟悉Excel函數、SQL或Access資料庫運用者佳2.具備金融保險業資料分析經驗者尤佳3.具團隊合作精神及溝通協調能力,,人身保險業,3
資料分析工程師【精準醫療領域】,佳綸生技股份有限公司,40000.0,2年以上,"1. 與使用者確認需求、定義需解決之問題、並撰寫需求提案
2. 收集整理訓練AI模型所需相關訓練、確認資料
3. 解析問題所對應資料分布範圍與資料分布型態
4. 對應所需解決之問題設計均勻取樣模型，最佳化AI訓練效能
5. 建立資料庫系統維護各模型所需之資料
6. 蒐集相關問題已知之AI模型
7. 研發建置AI模型解決使用者需求
8. 於常用人工智慧平台實作AI模型，並進行相關訓練與確效
9. 使用各類效能評估軟體校調AI模型軟體效能
10. 撰寫AI模型架構、效能與結案報告
11. 配合主管需求調整相關研發進度","1. 熟悉統計相關程式語言(R、Python、etc.)與資料庫操作語言(SQL)2. 熟悉統計檢定，分佈，最大似然估計等，並了解各類統計方法差異性與適用性3. 曾利用最近鄰居法(KNN)，隨機森林(random forest)，反向傳播神經網路，卷積神經網路(CNN)，深度學習神經網路(DNN)等機器學習方法進行資料分析探勘4. 曾利用人工智慧開發平台之相關語言實際分析相關資料 (Tensorflow, Caffe, CNTK, Torch, Keras, etc)5. 具備使用高速電腦(CPU、GPU)進行人工智慧模型訓練與確效分析之相關經驗6. 具備架構資料模型、資料庫設計、資料探勘、資料分群分析相關能力7. 須具備充足軟體報表產生經驗(Business Objects etc.) 、 資料庫操作(SQL etc.)與相關之程式語言(XML, Javascript, or ETL frameworks)實務經驗。8. 具備充足的統計軟體使用與資料分析經驗 (Excel, R, etc.)9. 具備十足的分析能力，能夠收集，組織，分析和解析大量數據與資訊，並注重分析細節和準確性10. 擅長資料查詢，報告撰寫和呈現分析結果11. 可聚焦於客戶需求並需並給客戶良好之互動體驗12. 需有經驗處理過瑕疵資料，如缺值、資料型態不一13. 需有預測模型效率校調經驗與演算法最佳化之校調經驗14. 須具備呈現專業資料於非專業客戶能力15. 具維護超大型資料庫經驗尤佳(Hadoop etc.)", Python Excel PowerPoint Word 中文打字20~50 英文打字20~50,其他醫療保健服務業,2
資料分析師Data Analyst-(竹北公司),台灣矽科宏晟科技股份有限公司,30000.0,1年以上,"- BOM表及報價資料分析
- 熟悉MS Excel VBA程式開發、需求分析設計實務經驗一年以上
- 具ERP系統設計或使用經驗者佳
- 對ASP．NET和Java或其他網頁開發相關經驗
- 熟悉資料庫結構
-  具報表開發經驗
- BOM表及報價資料分析
- 強化報表管理及時性

",1.具工作熱誠、積極認真、溝通能力佳。, ASP.NET Java VBA,精密儀器相關製造業,1
